coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
535481,9,F,2007,BS    ,Journalism,20,1
535483,8,F,2006,BA    ,History,100,1
535489,2,F,2008,BA    ,GRO Social Studies,50,1
535536,7,F,2007,BA    ,Chemistry,50,1
535609,3,F,2008,BA    ,Mathematics,20,1
535635,6,F,2009,BA    ,Journalism,50,1
535698,5,M,2007,BS    ,Biomedical Sciences,500,1
535741,4,M,2008,MPAS  ,Physician Assistant Studies,25,1
535745,7,M,2008,BS    ,Biology,35,1
535755,9,M,2006,BBA   ,Finance,50,1
535793,1,F,2004,MPA   ,Public Administration,25,1
535890,2,F,2005,BSN   ,Nursing,25,1
535906,29,M,2007,MPA   ,Public Administration,450,1
535914,16,M,2008,BS    ,Computer Science,100,1
535937,58,F,2005,BS    ,Hospitality Tourism Mgt,190,1
536010,10,F,2009,BS    ,Biomedical Sciences,100,1
536037,9,M,2006,BA    ,Political Science,5,1
536159,13,F,2006,MSA   ,Accounting,50,1
536172,2,M,2006,BA    ,Theatre,100,1
536217,8,M,2008,BA    ,Political Science,113.82,1
536391,1,M,2009,BS    ,Geology,25,1
536404,2,M,2007,BBA   ,Business General,125,1
536569,4,F,2007,BA    ,English Language and Lit,15,1
536574,11,M,2007,MED   ,General Education,220,1
536626,6,M,2006,BA    ,Liberal Studies,10,1
536631,19,F,2006,MPA   ,Public Administration,25,1
536695,2,M,2009,BBA   ,Finance,200,1
536712,5,M,2009,BS    ,Mathematics,20,1
536746,21,M,2005,BS    ,Physical Education,150,1
536764,17,F,2006,BS    ,Athletic Training,50,1
536797,23,F,2007,MPA   ,Public Administration,150,1
536892,4,F,2006,BA    ,English Language and Literature,75,1
536951,8,M,2005,BS    ,Criminal Justice,25,1
536961,8,M,2006,BBA   ,Finance,35,1
536967,29,F,2010,BA    ,Writing,45,1
536984,3,F,2009,BA    ,Hospitality Tourism Mgt,25,1
537025,3,F,2005,MSN   ,Nursing,100,1
537058,8,M,2008,BS    ,Film and Video,40,1
537122,12,F,2006,MED   ,General Education,25,1
537143,4,M,2006,BS    ,Mathematics,35,1
537167,3,M,2007,BBA   ,Marketing,10,1
537168,24,F,2005,MED   ,General Education,95.04,1
537235,12,F,2008,BS    ,Chemistry,100,1
537272,9,M,2006,MED   ,General Education,25,1
537285,5,M,2008,BS    ,Physical Education,50,1
537309,11,F,2005,BA    ,Journalism,50,1
537357,10,F,2005,BA    ,Greek,500,1
537375,31,F,2008,BA    ,Legal Studies,60,1
537404,4,F,2006,BA    ,Communications,20,1
537406,4,F,2006,BA    ,Sociology,25,1
537425,7,F,2008,BS    ,Biomedical Sciences,300,1
537497,3,F,2011,BFA   ,Art,15,1
537523,2,F,2006,BA    ,Art,25,1
537564,10,F,2007,MS    ,Occupational Therapy,50,1
537586,2,F,2009,BBA   ,Business Economics,5,1
537625,6,M,2009,BS    ,Mathematics,75,1
537636,8,F,2009,BA    ,Classical Tradition,100,1
537644,33,F,2008,MHA   ,Health Administrator,50,1
537676,6,M,2005,BBA   ,Management,250,1
537710,2,F,2009,BBA   ,Finance,20,1
537802,73,F,2008,MED   ,Higher Education,205,1
537815,7,M,2005,BBA   ,Management,100,1
537863,9,M,2011,BA    ,History,20,1
537868,5,F,2005,MED   ,General Education,25,1
537872,6,M,2007,MED   ,Educational Leadership,225,1
538006,7,F,2007,BA    ,Classical Tradition,50,1
538033,4,M,2010,BS    ,Journalism,20,1
538062,20,F,2007,BS    ,Photography,25,1
538175,55,F,2005,BS    ,Biomedical Sciences,700,1
538214,2,M,2008,BS    ,Biomedical Sciences,50,1
538251,3,M,2007,MS    ,Cell and Molecular Biology,5,1
538253,6,F,2007,MSW   ,Social Work,1,1
538320,5,M,2009,MSW   ,Social Work,20,1
538350,14,F,2006,MSW   ,Social Work,150,1
538353,8,M,2006,MS    ,Biostatistics,25,1
538395,5,M,2005,BA    ,Film and Video,50,1
538443,2,F,2006,MED   ,Special Education,50,1
538453,6,M,2007,BS    ,Psychology,50,1
538467,8,M,2008,BS    ,Biomedical Sciences,100,1
538484,38,F,2007,BA    ,Communications,500,1
538519,5,F,2008,BSN   ,Nursing,50,1
538539,1,M,2005,MPA   ,Public Administration,50,1
538540,5,F,2005,MS    ,Computer Information Systems,5,1
538550,11,F,2005,BBA   ,Finance,100,1
538561,12,M,2009,BS    ,Athletic Training,75,1
538570,3,F,2008,BS    ,Advertising & Public Relations,75,1
538689,10,F,2007,BS    ,Health Professions,50,1
538717,13,F,2006,BBA   ,Finance,50,1
538784,2,F,2008,BS    ,Physical Education,25,1
538797,11,F,2010,BA    ,Hospitality Tourism Mgt,25,1
538818,6,M,2008,BS    ,Physical Education,75,1
538880,7,F,2006,MED   ,Special Education,100,1
539050,14,F,2005,MS    ,Criminal Justice,20,1
539516,3,F,2004,MSA   ,Accounting,25,1
539606,8,F,2004,MED   ,General Education,30,1
539623,6,F,2004,BS    ,Psychology,25,1
539629,51,F,2004,MED   ,General Education,250,1
539695,7,F,2004,MPA   ,Public Administration,50,1
539747,7,F,2004,BA    ,English Language and Literature,100,1
539754,42,F,2004,MBA   ,Business General,2000,1
539768,5,M,2004,BS    ,Mathematics,50,1
540159,7,F,2004,BBA   ,International Business,300,1
540194,4,M,2004,BBA   ,Finance,87.5,1
540207,8,F,2004,BS    ,Advertising & Public Relations,50,1
540233,31,M,2004,BS    ,Communications,115,1
540370,29,M,2004,BBA   ,Marketing,2000,1
541070,5,F,2010,BS    ,Natural Resource Management,100,1
541844,8,M,2006,BBA   ,Accounting,200,1
544325,10,F,2005,MS    ,Occupational Therapy,200,1
544332,5,F,2005,BA    ,Psychology,25,1
546406,9,M,2005,BBA   ,Finance,100,1
546440,5,M,2005,MBA   ,Business General,25,1
546445,1,M,2005,BBA   ,Marketing,150,1
546569,9,F,2005,BA    ,Legal Studies,20,1
546632,7,F,2005,MED   ,General Education,25,1
546761,1,F,2005,BBA   ,Finance,10,1
546777,3,F,2005,BS    ,GRO Social Studies,50,1
546888,4,M,2005,BS    ,Criminal Justice,10,1
546895,7,M,2006,MED   ,General Education,25,1
546930,4,M,2005,BBA   ,Business General,35,1
547043,57,M,2005,BS    ,Hospitality Tourism Mgt,700,1
547088,7,F,2005,BS    ,Integrated Science,250,1
547244,27,M,2005,BS    ,Information Systems,3000,1
547369,9,F,2005,BA    ,Advertising & Public Relations,100,1
547371,2,M,2005,BS    ,Legal Studies,500,1
547382,30,M,2005,BS    ,GRO Social Studies,30,1
547501,8,M,2005,BS    ,Psychology,11,1
547531,8,M,2005,BS    ,Computer Science,150,1
547557,5,F,2005,BA    ,GRO Social Studies,50,1
548821,22,M,2006,BS    ,Journalism,65,1
549029,18,M,2005,BS    ,Advertising & Public Relations,250,1
549894,10,M,2010,MPAS  ,Physician Assistant Studies,250,1
551171,5,F,2008,MED   ,General Education,1175,1
551176,7,M,2005,BBA   ,International Business,300,1
551197,8,M,2005,MHA   ,Health Administrator,250,1
551208,1,F,2014,MED   ,School Counseling,2,1
551303,7,M,2005,BS    ,Physical Education,50,1
551469,1,F,2005,BBA   ,Finance,20,1
551544,1,M,2005,MSA   ,Accounting,25,1
551806,8,M,2005,BBA   ,Accounting,50,1
551831,6,M,2005,BS    ,Psychology,25,1
551846,6,F,2008,MED   ,Special Education,150,1
551875,1,F,2007,MED   ,General Education,25,1
551897,13,F,2005,MS    ,Biology,505,1
551989,5,F,2008,BBA   ,Finance,35,1
552500,25,F,2006,BS    ,Advertising & Public Relations,50,1
553551,2,F,2009,MSA   ,Accounting,75,1
553595,1,F,2006,MSA   ,Accounting,25,1
553597,22,M,2006,BBA   ,Finance,150,1
553601,3,F,2009,BA    ,Writing,25,1
553656,13,M,2009,BS    ,Physical Education,50,1
553761,8,M,2009,BS    ,Biomedical Sciences,45,1
553925,8,F,2009,BS    ,Health Professions,325,1
553969,4,F,2009,BS    ,Biomedical Sciences,100,1
559295,5,M,2012,BS    ,Public Administration,50,1
561773,9,M,2009,BS    ,Public Administration,10,1
561859,3,M,2005,MBA   ,Business General,200,1
561909,9,M,2005,BBA   ,Marketing,603,1
561944,1,M,2005,MED   ,Educational Leadership,10,1
561993,15,M,2005,MSA   ,Accounting,50,1
562045,9,M,2005,MBA   ,Business General,50,1
562139,5,F,2005,BS    ,Broadcasting,225,1
562184,40,M,2005,BBA   ,Accounting,25,1
562209,22,F,2005,BA    ,Advertising & Public Relations,100,1
562232,30,M,2005,BBA   ,Marketing,500,1
562247,2,F,2005,BS    ,Biomedical Sciences,150,1
562495,20,F,2005,MPAS  ,Physician Assistant Studies,100,1
562508,6,F,2005,BBA   ,Finance,603,1
563985,17,F,2007,MBA   ,Business General,75,1
564140,4,M,2006,BS    ,Journalism,100,1
564149,13,F,2009,BS    ,Biomedical Sciences,25,1
564194,10,F,2006,BBA   ,Marketing,50,1
565479,101,F,2011,MPA   ,Public Administration,10,1
568138,5,F,2006,MPA   ,Public Administration,200,1
568192,1,F,2006,BA    ,Advertising & Public Relations,25,1
568213,3,M,2005,BS    ,Psychology,50,1
568263,2,F,2006,MED   ,General Education,50,1
568385,4,F,2006,MSA   ,Accounting,150,1
568402,6,F,2006,BS    ,Integrated Science,100,1
568593,6,M,2006,MBA   ,Business General,2200,1
568646,6,M,2006,MST   ,Taxation,200,1
568750,3,F,2006,BSN   ,Nursing,20,1
568764,9,F,2006,BS    ,Psychology,31.95,1
568798,8,M,2006,BBA   ,Marketing,50,1
568876,6,M,2005,BS    ,Health Science,250,1
568960,4,F,2006,MPA   ,Public Administration,30,1
568970,2,F,2006,BS    ,Advertising & Public Relations,100,1
569169,8,M,2006,BBA   ,Finance,10,1
569273,4,F,2006,MS    ,Biostatistics,205,1
569389,6,F,2006,BA    ,Advertising & Public Relations,50,1
569431,2,M,2006,BS    ,Psychology,25,1
569986,8,F,2010,BS    ,Chemistry,50,1
570022,10,M,2010,BS    ,Political Science,35,1
570271,16,F,2006,BS    ,Art,10,1
570977,12,F,2014,MPA   ,Public Administration,35,1
572032,4,F,2006,BS    ,Therapeutic Recreation,150,1
572044,20,F,2006,BA    ,Broadcasting,25,1
572093,6,M,2006,BS    ,Hospitality Tourism Mgt,70,1
572239,38,F,2006,MPA   ,Public Administration,35,1
572248,5,M,2006,MSN   ,Nursing,200,1
572599,4,M,2006,BBA   ,Marketing,20,1
572794,5,M,2006,BS    ,Criminal Justice,50,1
572835,3,M,2006,BS    ,Sociology,25,1
572936,7,M,2006,MBA   ,Business General,50,1
573000,19,M,2006,DNP   ,Nursing,1,1
573079,7,F,2006,BS    ,Physical Education,50,1
573082,9,F,2006,BS    ,Psychology,25,1
573276,4,F,2006,MBA   ,Business General,339.2,1
573770,8,M,2006,BBA   ,Marketing,80,1
573777,15,M,2006,MSA   ,Accounting,455,1
580965,4,F,2006,MPAS  ,Physician Assistant Studies,20,1
581113,15,M,2006,BS    ,Political Science,50,1
581157,6,M,2006,MST   ,Taxation,5000,1
581225,7,F,2006,BS    ,Natural Resource Management,50,1
581300,3,F,2006,BBA   ,Management,10,1
581324,1,F,2006,BA    ,GRO Social Studies,50,1
581369,7,F,2006,BS    ,Hospitality Tourism Mgt,25,1
581416,3,M,2006,MED   ,School Counseling,20,1
581418,2,M,2006,BBA   ,Management,315,1
581420,4,F,2006,BS    ,Sociology,100,1
581471,4,M,2006,MS    ,Computer Information Systems,50,1
581598,1,F,2006,BS    ,GRO Social Studies,50,1
581744,4,M,2006,BS    ,Physical Education,21,1
581746,9,M,2006,BBA   ,Marketing,15,1
581751,7,M,2006,MBA   ,Business General,100,1
581818,13,M,2008,MPA   ,Public Administration,50,1
581874,37,M,2008,BS    ,Advertising & Public Relations,146.7,1
581878,2,F,2007,BSN   ,Nursing,50,1
581941,3,M,2010,BBA   ,Accounting,25,1
581949,23,M,2010,BS    ,Advertising & Public Relations,25,1
581965,33,F,2010,BBA   ,Management,40,1
582000,10,M,2010,BS    ,Biopsychology,50,1
582002,35,F,2010,BBA   ,Management,100,1
582056,5,F,2010,BFA   ,Art,100,1
582072,4,F,2012,BS    ,Advertising & Public Relations,70,1
582104,8,F,2010,BS    ,Advertising & Public Relations,50,1
582145,14,F,2010,MED   ,Higher Education,100,1
582206,3,M,2010,BBA   ,Management,5,1
582293,22,F,2010,BS    ,Chemistry,55,1
582382,4,F,2010,MSA   ,Accounting,15,1
582394,11,F,2010,MSN   ,Nursing,1,1
582964,6,M,2010,BS    ,Occup Safety/Health Management,10,1
583001,23,M,2010,MED   ,Higher Education,120,1
583112,8,M,2010,MS    ,Biostatistics,325,1
584772,13,F,2009,BS    ,Anthropology,100,1
584811,11,F,2010,BS    ,Biomedical Sciences,20,1
584893,89,F,2008,BA    ,Psychology,100,1
584898,3,F,2007,BS    ,Communications,50,1
585073,6,M,2009,BS    ,Biomedical Sciences,200,1
585092,11,M,2009,BS    ,Political Science,50,1
585179,23,F,2010,MPA   ,Public Administration,1000,1
585235,8,M,2009,BS    ,Athletic Training,50,1
585904,6,M,2007,BBA   ,Management,100,1
586010,11,M,2007,MBA   ,Business General,50,1
586013,36,M,2007,BS    ,Physical Education,25,1
586174,7,M,2007,BS    ,Geography,25,1
586207,2,F,2007,MBA   ,Business General,25,1
586307,5,M,2007,BS    ,Mathematics,50,1
586384,1,F,2007,BS    ,Health Science,50,1
586425,6,M,2007,BS    ,History,50,1
586513,3,F,2007,BA    ,English Language and Literature,50,1
586619,8,F,2007,BS    ,Integrated Science,25,1
586706,4,F,2007,BBA   ,Business General,10,1
586767,4,M,2007,BBA   ,Management,150,1
587153,17,F,2007,BS    ,Hospitality Tourism Mgt,40,1
587212,3,M,2007,BS    ,Psychology,5,1
587269,8,F,2007,BA    ,English Language and Literature,50,1
587386,7,F,2007,BSW   ,Social Work,25,1
587623,17,F,2010,MPA   ,Public Administration,35,1
587646,4,F,2010,BSN   ,Nursing,10,1
587660,10,M,2009,MPA   ,Public Administration,500,1
587674,8,M,2012,BBA   ,Finance,85,1
587687,16,F,2011,BSN   ,Nursing,120,1
587897,4,M,2009,MPA   ,Public Administration,100,1
589040,22,F,2010,BS    ,Public Administration,300,1
592014,1,F,2007,BS    ,Biology,20,1
592253,11,M,2007,BS    ,Criminal Justice,40,1
592744,8,F,2007,MST   ,Taxation,40,1
592780,13,M,2007,MPA   ,Public Administration,300,1
594281,6,M,2013,BS    ,Exercise Science,10,1
594303,5,M,2014,BSE   ,Engineering,5,1
594337,6,F,2011,BBA   ,Accounting,50,1
594342,7,M,2012,BBA   ,Finance,100,1
594384,5,M,2009,BA    ,Film and Video,50,1
594385,30,M,2009,MPA   ,Public Administration,200,1
594447,7,M,2010,MED   ,Higher Education,50,1
594513,6,F,2010,BS    ,Exercise Science,20,1
594632,8,F,2010,BS    ,Biomedical Sciences,20,1
594708,7,M,2010,BS    ,Biomedical Sciences,20,1
594720,4,M,2010,MSA   ,Accounting,100,1
594803,5,M,2012,BSE   ,Computer Engineering,20,1
594851,12,F,2011,MS    ,Biostatistics,50,1
594856,12,M,2012,BA    ,Chinese Studies,35,1
594861,22,M,2009,MBA   ,Business General,50,1
594891,5,F,2012,BS    ,Hospitality Tourism Mgt,15,1
594911,8,F,2012,MS    ,Cell and Molecular Biology,10,1
594915,4,F,2011,BS    ,Psychology,10,1
594921,8,M,2011,BS    ,Chemistry,150,1
595989,2,M,2013,BBA   ,Management,10,1
596645,7,F,2008,BS    ,Biomedical Sciences,100,1
596705,10,F,2011,MSW   ,Social Work,25,1
596715,13,M,2009,BS    ,Chemistry,20,1
596765,8,F,2011,BSW   ,Social Work,50,1
596776,7,F,2009,BS    ,Athletic Training,20,1
596852,12,M,2013,BS    ,Biomedical Sciences,25,1
597007,1,F,2007,BBA   ,Accounting,10,1
597205,48,M,2007,BS    ,Computer Science,260,1
597342,5,F,2007,BS    ,Mathematics,50,1
597363,4,M,2007,MS    ,Computer Information Systems,50,1
597385,1,M,2007,BBA   ,Marketing,10,1
597606,14,F,2007,BBA   ,Marketing,30,1
597658,1,F,2007,BS    ,Criminal Justice,25,1
597698,7,M,2007,MED   ,General Education,50,1
597841,8,F,2009,MA    ,English Language and Literature,100,1
597846,4,M,2007,BS    ,Hospitality Tourism Mgt,100,1
597859,1,F,2007,BS    ,Communications,50,1
597893,5,F,2007,BS    ,Health Science,10,1
598097,7,F,2010,BS    ,Biomedical Sciences,25,1
598274,37,F,2012,BA    ,Psychology,150,1
598346,10,F,2009,MSA   ,Accounting,5,1
598347,13,M,2009,MPA   ,Public Administration,150,1
598357,106,M,2012,BBA   ,Finance,25,1
598782,20,M,2010,BS    ,Biomedical Sciences,300,1
598895,108,F,2008,MPA   ,Public Administration,296.76,1
599805,67,M,2008,BBA   ,Marketing,350,1
599829,1,F,2008,MSW   ,Social Work,50,1
599887,4,F,2008,BSN   ,Nursing,25,1
599984,10,F,2008,MHS   ,Biomedical Sciences,100,1
600051,4,M,2008,BA    ,Writing,150,1
600141,3,F,2008,BSN   ,Nursing - RN,10,1
600327,2,F,2008,BA    ,Hospitality Tourism Mgt,20,1
600402,5,F,2008,BS    ,Integrated Science,25,1
600616,10,F,2008,MS    ,Computer Information Systems,10,1
600636,6,F,2008,MED   ,Educational Technology,25,1
600835,5,M,2008,BS    ,Health Professions,300,1
600852,3,F,2008,BA    ,Advertising & Public Relations,100,1
600978,6,M,2008,BS    ,Information Systems,150,1
602723,5,M,2008,BS    ,Natural Resource Management,50,1
602993,9,F,2008,MED   ,Higher Education,85,1
603188,1,M,2008,BS    ,Biomedical Sciences,25,1
603337,1,F,2008,BSE   ,Engineering,40,1
608229,3,F,1976,BS    ,Group SS Soc,631,1
608405,2,F,2007,MSN   ,Nursing,250,1
608693,7,M,2008,MSE   ,Engineering,50,1
608915,5,M,2008,BBA   ,Finance,100,1
608932,19,M,2009,MED   ,General Education,12,1
610831,27,F,2012,BS    ,Health Communication,50,1
610948,9,F,2008,MPA   ,Public Administration,500,1
610982,5,F,2008,MSA   ,Accounting,30,1
611020,1,F,2008,MED   ,General Education,50,1
611089,5,M,2008,BBA   ,Finance,75,1
611189,3,F,2008,BA    ,Psychology,5,1
611272,15,F,2008,BBA   ,Finance,100,1
611279,19,F,2008,BBA   ,Marketing,100,1
611284,4,M,2008,BSN   ,Nursing,25,1
611315,3,F,2008,BS    ,Therapeutic Recreation,150,1
611633,1,F,2013,BS    ,Mathematics,10,1
611650,5,M,2012,BS    ,Occup Safety/Health Management,50,1
611661,21,F,2012,BA    ,Political Science,300,1
611798,3,F,2014,BS    ,Comp Sci & Arts for Teaching,0.32,1
611816,3,F,2013,BA    ,Spanish,10,1
611824,8,M,2009,BS    ,Athletic Training,300,1
611848,6,M,2010,MPA   ,Public Administration,500,1
611895,3,M,2011,BS    ,Computer Science,20,1
611905,11,F,2011,BA    ,International Relations,25,1
611928,18,M,2009,BS    ,Information Systems,3,1
611950,5,F,2013,BBA   ,Management,5,1
611973,1,F,2010,MSA   ,Accounting,50,1
612099,5,M,2010,BS    ,Political Science,5,1
612246,3,F,2013,BA    ,Spanish,25,1
612557,27,F,2008,BS    ,Psychology,65,1
612785,23,F,2011,BBA   ,International Business,75,1
613256,4,M,2008,BSE   ,Engineering,20,1
613548,6,M,2010,BS    ,Advertising & Public Relations,10,1
613609,3,F,2009,BA    ,English Language and Literature,20,1
613645,8,F,2010,BS    ,Athletic Training,25,1
613656,8,F,2010,MED   ,General Education,75,1
613785,13,F,2009,BS    ,Public Administration,50,1
614056,33,M,2012,BS    ,History,550,1
614996,6,F,2009,BBA   ,Finance,70,1
615105,7,F,2009,BS    ,Health Professions,25,1
615406,6,F,2009,BS    ,Advertising & Public Relations,25,1
615604,52,M,2009,BBA   ,Business Economics,25,1
615673,2,M,2009,BS    ,GRO Social Studies,25,1
615765,6,F,2009,BA    ,French,200,1
615834,3,M,2009,BBA   ,Business Economics,15,1
615864,7,M,2009,BBA   ,Accounting,50,1
615908,27,M,2009,BBA   ,Finance,30,1
615987,15,F,2009,BSN   ,Nursing,146.7,1
616018,4,F,2009,BBA   ,Management,50,1
616093,1,M,2009,BS    ,Criminal Justice,30,1
616281,7,F,2009,MED   ,General Education,160,1
616305,5,M,2009,BS    ,Economics,75,1
616340,4,M,2009,BS    ,Political Science,25,1
616350,3,M,2009,BA    ,Criminal Justice,150,1
616370,9,F,2009,MSW   ,Social Work,15,1
616971,7,F,2009,BA    ,GRO Social Studies,55,1
616989,8,M,2009,BS    ,History,50,1
617763,12,F,2012,BS    ,Liberal Studies,25,1
618160,13,M,2012,MBA   ,Business General,20,1
618376,4,F,2013,BS    ,Public Administration,35,1
618701,10,M,2009,BS    ,Hospitality Tourism Mgt,100,1
618729,5,M,2009,BBA   ,International Business,100,1
618753,3,F,2009,BSN   ,Nursing,35,1
618824,7,F,2009,BS    ,Hospitality Tourism Mgt,50,1
618841,7,M,2009,BS    ,Advertising & Public Relations,10,1
618968,1,F,2009,BS    ,Hospitality Tourism Mgt,75,1
618978,2,F,2009,BS    ,Criminal Justice,50,1
619038,10,M,2009,BBA   ,Management,25,1
619288,8,M,2009,DPT   ,Physical Therapy,50,1
619291,3,M,2009,BBA   ,Accounting,35,1
619400,7,F,2009,MED   ,Higher Education,95,1
619402,5,F,2009,MBA   ,Business General,35,1
619667,11,M,2012,EDS   ,Leadership,20,1
619842,8,F,2012,BSW   ,Social Work,20,1
620339,14,F,2013,BBA   ,Marketing,10,1
620387,7,F,2010,DNP   ,Nursing,50,1
624398,72,F,2011,BA    ,Advertising & Public Relations,30,1
624443,5,M,2009,MSA   ,Accounting,25,1
624459,2,F,2009,MSW   ,Social Work,0.62,1
624828,4,F,2010,BA    ,Hospitality Tourism Mgt,20,1
625653,14,M,2011,MPA   ,Public Administration,100,1
625656,6,M,2011,BS    ,Exercise Science,50,1
625702,4,F,2010,BS    ,Anthropology,10,1
625726,3,M,2011,BS    ,Physical Education,50,1
625787,7,F,2011,BS    ,Psychology,5,1
625829,4,F,2014,BS    ,Psychology,10,1
625888,10,F,2013,BA    ,Liberal Studies,10,1
625923,7,M,2013,BBA   ,Business Economics,110,1
625964,4,M,2014,BSE   ,Mechanical Engineering,5,1
626010,6,F,2014,BA    ,Music,5,1
626092,3,F,2013,BA    ,Journalism,25,1
626123,3,F,2014,BA    ,Spanish,25,1
626135,9,M,2010,BS    ,Public Administration,50,1
626140,5,M,2014,BA    ,Spanish,27,1
626229,9,F,2012,BS    ,Mathematics,100,1
626335,14,M,2011,BBA   ,Finance,50,1
626337,2,M,2010,MSA   ,Accounting,75,1
626376,2,F,2010,BS    ,Geology,300,1
626467,9,F,2012,MED   ,Literacy Studies,100,1
626992,20,F,2009,BBA   ,International Business,100,1
627030,12,F,2009,MPA   ,Public Administration,50,1
627064,2,M,2009,BBA   ,Marketing,250,1
627233,3,M,2009,BA    ,Criminal Justice,50,1
627384,3,M,2009,BS    ,Computer Science,50,1
627496,7,M,2009,BBA   ,Marketing,150,1
627505,1,M,2009,BBA   ,Business General,300,1
627534,7,M,2009,BS    ,Economics,100,1
627633,8,F,2009,BA    ,Hospitality Tourism Mgt,25,1
627645,3,F,2009,BA    ,Broadcasting,150,1
627697,1,M,2009,MPA   ,Public Administration,100,1
627729,2,F,2009,MSA   ,Accounting,100,1
627810,50,M,2009,BBA   ,Marketing,25,1
628314,3,M,2011,MBA   ,Business General,300,1
629286,9,F,2010,BBA   ,Finance,50,1
629389,4,M,2010,BBA   ,Management,100,1
629445,11,M,2010,BA    ,Photography,200,1
629447,5,M,2010,BA    ,French,15,1
629599,14,F,2010,MSA   ,Accounting,25,1
629606,8,F,2010,BA    ,Legal Studies,20,1
629608,3,F,2010,BS    ,Liberal Studies,50,1
629612,15,F,2010,BA    ,Advertising & Public Relations,170,1
629649,7,M,2010,MSW   ,Social Work,70,1
629661,13,F,2010,BBA   ,Management,50,1
629666,2,F,2010,BBA   ,Finance,35,1
629867,15,F,2010,MPA   ,Public Administration,50,1
629868,5,F,2010,BS    ,Psychology,5,1
629897,5,M,2012,BS    ,Health Professions,50,1
629903,8,F,2010,BA    ,International Relations,25,1
629958,5,M,2011,BS    ,Liberal Studies,40,1
630026,15,M,2012,MS    ,Communications,15.95,1
630154,9,F,2012,MED   ,Instruction & Curriculum,150,1
630779,4,F,2010,MED   ,Instruction & Curriculum,10,1
630782,5,F,2010,MED   ,Higher Education,10,1
630841,2,F,2010,BS    ,Biomedical Sciences,10,1
630920,6,F,2010,BS    ,Exercise Science,10,1
630973,2,M,2010,BS    ,Criminal Justice,100,1
631006,8,F,2010,BS    ,Exercise Science,600,1
631128,7,M,2010,MED   ,Higher Education,10,1
631133,1,M,2010,MSA   ,Accounting,50,1
631174,3,F,2010,MSA   ,Accounting,50,1
631185,6,F,2010,BS    ,Public Administration,25,1
631268,3,F,2010,MSW   ,Social Work,20,1
631321,10,M,2010,BBA   ,Management,125,1
631340,94,F,2010,BS    ,Hospitality Tourism Mgt,10,1
631429,10,F,2010,MSW   ,Social Work,25,1
631553,1,M,2010,BS    ,Criminal Justice,25,1
631554,9,F,2010,MPA   ,Public Administration,10,1
631590,15,F,2010,BS    ,Biology,110,1
631597,5,F,2010,BSN   ,Nursing,50,1
631605,4,M,2010,MST   ,Taxation,75,1
631635,5,M,2010,BS    ,Public Administration,50,1
631684,7,M,2010,BS    ,Biomedical Sciences,50,1
631762,8,M,2010,BBA   ,Marketing,50,1
631777,3,M,2010,BBA   ,Accounting,50,1
631782,3,F,2010,BS    ,Hospitality Tourism Mgt,20,1
631936,5,M,2010,BBA   ,Management,1000,1
632099,4,M,2010,MBA   ,Business General,400,1
632153,5,F,2010,MPA   ,Public Administration,500,1
632176,9,M,2010,MPA   ,Public Administration,100,1
632283,5,F,2007,BS    ,Physical Education,35,1
634099,26,F,2010,BBA   ,Marketing,25,1
636834,2,M,2011,BS    ,Psychology,250,1
636844,5,M,2011,MSA   ,Accounting,100,1
636866,13,F,2011,BBA   ,International Business,150,1
636870,9,M,2012,BA    ,Anthropology,15,1
636889,6,F,2011,MSW   ,Social Work,15,1
636890,5,M,2011,MED   ,Higher Education,25,1
636909,10,F,2011,BBA   ,International Business,5,1
636966,3,M,2014,BBA   ,Finance,10,1
636981,5,M,2014,BBA   ,Management,3,1
636990,4,M,2014,BS    ,Computer Science,10,1
637026,7,M,2011,BBA   ,Management,50,1
637066,4,F,2014,BA    ,French,3,1
637067,5,F,2014,BS    ,Hospitality Tourism Mgt,1,1
637078,3,F,2014,BS    ,Biomedical Sciences,4,1
637083,6,F,2014,BA    ,International Relations,360,1
637093,3,M,2014,BBA   ,Marketing,2,1
637248,2,F,2014,BS    ,Biology,2,1
637290,1,M,2014,BS    ,Film and Video,5,1
637444,3,M,2012,BBA   ,Marketing,50,1
637457,6,M,2012,BBA   ,Finance,150,1
637471,8,F,2014,MSA   ,Accounting,2,1
637500,5,F,2013,MPA   ,Public Administration,50,1
637836,1,M,2010,BSE   ,Engineering,20,1
638035,4,M,2010,BA    ,Political Science,100,1
638152,3,M,2010,MPA   ,Public Administration,150,1
638797,2,F,2010,BA    ,Philosophy,40,1
638800,3,F,2010,MPA   ,Public Administration,20,1
638847,3,M,2010,BS    ,Computer Science,200,1
639177,14,F,2013,BS    ,Political Science,10,1
639181,7,F,2013,BA    ,Liberal Studies,10,1
639186,3,M,2014,BS    ,GRO Social Studies,10,1
640501,4,M,2011,BBA   ,Management,160,1
640550,2,M,2010,BSN   ,Nursing,10,1
640614,6,M,2010,BBA   ,Marketing,75,1
640617,13,M,2010,BS    ,GRO Social Studies,10,1
641752,7,F,2012,MED   ,Higher Education,100,1
641920,19,M,2013,BBA   ,Marketing,357,1
642104,1,M,2010,BS    ,Public Administration,40,1
642269,7,M,2010,DPT   ,Physical Therapy,50,1
642310,6,M,2010,BS    ,Physical Education,300,1
642407,2,F,2010,BS    ,Integrated Science,25,1
