coreid,aff_total,coresex,coreprefyr,Degree,Major,fy14,donor
128556,5,F,2001,BS    ,Health Science,50,1
128617,12,M,1989,BS    ,Political Science,550,1
128644,4,M,1993,BS    ,Biomedical Sciences,100,1
128664,18,M,2006,MBA   ,Business General,150,1
128669,33,M,2006,MBA   ,Business General,150,1
128750,7,F,1994,MSA   ,Accounting,125,1
128817,24,M,2004,BBA   ,Marketing,600,1
128840,38,F,2000,BS    ,Psychology,25,1
128891,7,M,2002,BS    ,Liberal Studies,50,1
128954,12,M,2005,MS    ,Communications,10,1
129079,3,F,1988,MBA   ,Accounting,100,1
129089,6,M,1988,MST   ,Taxation,250,1
129094,8,F,1980,BS    ,Special Education,50,1
129100,7,F,1982,MED   ,Reading,100,1
129107,40,F,1985,PMCE  ,,650,1
129115,4,M,1982,MBA   ,Finance,100,1
129135,11,M,1973,BS    ,Psychology,200,1
129142,9,F,1971,BA    ,GRP SS Hist,50,1
129148,11,M,1979,BS    ,Physical Education,5,1
129269,33,M,1977,BS    ,Social Relations,70,1
129287,11,F,1988,BS    ,Physical Education,75,1
129289,17,M,1979,BS    ,Biology,2500,1
129348,9,M,1991,MBA   ,Business General,25,1
129379,8,M,2003,BBA   ,Management,50,1
129401,3,F,1990,BBA   ,Management,100,1
129413,14,F,1988,BS    ,Hospitality Tourism Mgt,500,1
129453,6,M,1994,BBA   ,Management,50,1
129473,16,M,1978,MPA   ,Public Administration,50,1
129561,1,F,1992,MED   ,General Education,20,1
129583,12,M,1990,BBA   ,Business General,50,1
129616,12,M,1983,BS    ,Physical Education,500,1
129627,16,M,1987,BBA   ,Accounting,150,1
129650,17,M,1988,BS    ,Political Science,500,1
129662,4,F,1984,BS    ,Nursing,25,1
129729,7,M,1993,BS    ,Hospitality Tourism Mgt,150,1
129789,7,F,1992,MBA   ,Business General,100,1
129797,29,F,1986,BS    ,Broadcasting,2000,1
129804,8,M,1993,BBA   ,Marketing,50,1
129807,7,F,1997,MSN   ,Nursing,1000,1
129808,15,F,1989,BSN   ,Nursing,250,1
129880,7,F,1995,MSW   ,Social Work,25,1
129957,6,M,1991,BS    ,Liberal Studies,150,1
129960,22,M,2007,BS    ,Advertising & Public Relations,775,1
130042,4,F,1991,MED   ,School Counseling,15,1
130067,9,M,2001,BS    ,Earth Science,100,1
130081,8,M,1991,BS    ,Computer Science,400,1
130132,3,F,1991,BBA   ,Business General,25,1
130148,107,M,2002,BBA   ,Finance,225,1
130151,8,M,1997,BS    ,Communications,50,1
130156,14,M,1991,BS    ,Physical Education,50,1
130158,7,F,1995,MSW   ,Social Work,50,1
130196,1,F,1992,MED   ,Special Education,100,1
130258,5,M,2008,BA    ,Spanish,100,1
130277,10,F,2002,BSN   ,Nursing,50,1
130280,112,F,2007,BA    ,Broadcasting,25,1
130295,17,F,2001,BS    ,Biology,200,1
130303,13,M,1998,BBA   ,Accounting,550,1
130338,3,F,2000,BBA   ,Marketing,150,1
130418,102,F,2001,BBA   ,Management,550,1
130463,39,M,1995,BA    ,International Relations,500,1
130584,7,M,2002,BSE   ,Engineering,100,1
130612,17,F,2003,BS    ,Advertising & Public Relations,600,1
130627,67,F,2007,MPA   ,Public Administration,30,1
130651,18,M,1982,MPA   ,Public Administration,115,1
130652,8,F,1980,MED   ,Special Education,10,1
130745,5,F,1983,MED   ,General Education,20,1
130750,3,M,1977,BS    ,Natural Resource Management,250,1
130778,9,F,1981,BS    ,Special Education,25,1
130779,8,F,1980,BS    ,Nursing,100,1
130819,13,M,1978,MBA   ,Finance,200,1
130945,11,M,1987,BBA   ,Management,125,1
130959,24,M,1982,BS    ,Natural Resource Management,200,1
130960,11,M,1987,BS    ,Industrial Technology,25,1
130971,7,F,1987,BS    ,Physical Therapy,100,1
131050,6,F,1990,MED   ,Reading,50,1
131077,4,F,1984,BS    ,Computer Science,50,1
131080,3,M,1999,BA    ,English Language and Literature,25,1
131146,10,F,1997,MPA   ,Public Administration,150,1
131160,6,F,1988,BSN   ,Nursing,75,1
131207,4,M,1993,MPAS  ,Physician Assistant Studies,600,1
131306,6,F,1978,BSW   ,Social Work,100,1
131319,10,M,1995,BA    ,Music,10,1
131330,3,M,1985,BS    ,Art,25,1
131340,3,F,1994,BS    ,Health Science,20,1
131430,13,F,2000,BS    ,Natural Resource Management,30,1
131452,6,F,1990,BS    ,Therapeutic Recreation,50,1
131489,8,F,1983,BS    ,Psychology,25,1
131499,7,M,1995,MSW   ,Social Work,15,1
131525,4,F,1998,BSN   ,Nursing,50,1
131560,5,F,1989,MED   ,Special Education,100,1
131567,19,M,1998,BSE   ,Engineering,400,1
131589,10,M,1982,BBA   ,Management,275,1
131593,6,F,1984,BS    ,Criminal Justice,100,1
131615,4,M,1990,BBA   ,Marketing,1500,1
131647,8,F,1996,BA    ,Chemistry,50,1
